mean_vehicle_count,max_vehicle_count,vehicle_count_std,entry_count,exit_count,flow_imbalance,avg_density,max_density,mean_displacement,stop_ratio,slow_vehicle_fraction,avg_wait_time,max_wait_time,entry_to_exit_time_mean,entry_to_exit_time_std,bus_ratio,truck_ratio,two_wheeler_ratio,camera_id,video_file,minute,time_segment_id,clean_filename,Camera
0.1916666666666666,1,0.3936121892873182,1,0,1,5.833333333333334e-06,5e-05,22.41174289155764,0.0,0.0526315789473684,14.0,14.0,0.0,0.0,0.0,0.0,0.0,camera_1,normanniles1_2025-10-20-06-00-45.mp4,0,0,normanniles1_2025-10-20-06-00-45.mp4,Norman Niles #1
0.175,1,0.3799671038392666,0,0,0,0.0,0.0,0.3207106781186547,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,camera_1,normanniles1_2025-10-20-06-01-45.mp4,0,1,normanniles1_2025-10-20-06-01-45.mp4,Norman Niles #1
0.1,1,0.3,0,0,0,0.0,0.0,0.4714045207910317,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,camera_1,normanniles1_2025-10-20-06-02-45.mp4,0,2,normanniles1_2025-10-20-06-02-45.mp4,Norman Niles #1
0.25,1,0.4330127018922193,0,0,0,0.0,0.0,0.2307692307692307,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,camera_1,normanniles1_2025-10-20-06-03-45.mp4,0,3,normanniles1_2025-10-20-06-03-45.mp4,Norman Niles #1
0.1,1,0.3,0,0,0,0.0,0.0,0.3,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,camera_1,normanniles1_2025-10-20-06-04-45.mp4,0,4,normanniles1_2025-10-20-06-04-45.mp4,Norman Niles #1
0.05,1,0.2179449471770336,0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,camera_1,normanniles1_2025-10-20-06-05-45.mp4,0,5,normanniles1_2025-10-20-06-05-45.mp4,Norman Niles #1
0.1333333333333333,1,0.339934634239519,1,0,1,4.1666666666666667e-07,5e-05,0.4267766952966368,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,camera_1,normanniles1_2025-10-20-06-06-45.mp4,0,6,normanniles1_2025-10-20-06-06-45.mp4,Norman Niles #1
0.1333333333333333,3,0.4068851871911232,0,1,-1,0.0,0.0,0.7,0.8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,camera_1,normanniles1_2025-10-20-06-07-45.mp4,0,7,normanniles1_2025-10-20-06-07-45.mp4,Norman Niles #1
0.15,2,0.3796928583298172,0,1,-1,0.0,0.0,0.2133883476483184,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,camera_1,normanniles1_2025-10-20-06-08-45.mp4,0,8,normanniles1_2025-10-20-06-08-45.mp4,Norman Niles #1
0.1333333333333333,2,0.3636237371545239,0,0,0,0.0,0.0,0.4,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,camera_1,normanniles1_2025-10-20-06-09-45.mp4,0,9,normanniles1_2025-10-20-06-09-45.mp4,Norman Niles #1
0.175,1,0.3799671038392666,0,0,0,0.0,0.0,0.25,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,camera_1,normanniles1_2025-10-20-06-10-45.mp4,0,10,normanniles1_2025-10-20-06-10-45.mp4,Norman Niles #1
0.125,1,0.3307189138830738,0,0,0,0.0,0.0,0.3118033988749895,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,camera_1,normanniles1_2025-10-20-06-11-45.mp4,0,11,normanniles1_2025-10-20-06-11-45.mp4,Norman Niles #1
0.1666666666666666,1,0.3726779962499649,0,1,-1,0.0,0.0,0.4163162231961564,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,camera_1,normanniles1_2025-10-20-06-12-45.mp4,0,12,normanniles1_2025-10-20-06-12-45.mp4,Norman Niles #1
0.0083333333333333,1,0.0909059342886309,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,camera_1,normanniles1_2025-10-20-06-13-45.mp4,0,13,normanniles1_2025-10-20-06-13-45.mp4,Norman Niles #1
0.125,1,0.3307189138830738,0,0,0,0.0,0.0,0.2142857142857142,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,camera_1,normanniles1_2025-10-20-06-14-45.mp4,0,14,normanniles1_2025-10-20-06-14-45.mp4,Norman Niles #1
